City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
481,Puebloviejo,CO,91.58,broken clouds,10.9938,-74.2844,The Journey Hostel
483,Aguas Belas,BR,77.86,broken clouds,-9.1114,-37.1231,Hotel Sertão
488,Dire Dawa,ET,76.59,overcast clouds,9.5931,41.8661,Samrat Hotel
490,Kalmunai,LK,78.42,clear sky,7.4167,81.8167,VS Villa
493,Laguna,US,81.28,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
494,Minbu,MM,81.16,scattered clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
495,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
497,Arlit,NE,88.83,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
499,Bowen,AU,78.75,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
501,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
502,Paita,PE,76.66,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
505,Nova Granada,BR,89.85,clear sky,-20.5339,-49.3142,Casa do maikão
507,Oriximina,BR,76.68,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
508,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
509,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
510,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
514,Nioaque,BR,83.95,scattered clouds,-21.1353,-55.83,Nioaque Novo Hotel
516,Muli,MV,82.56,clear sky,2.9167,73.5667,Medhufushi Island Resort
519,Koumac,NC,80.1,overcast clouds,-20.5667,164.2833,Le Monitel
522,Visavadar,IN,78.13,clear sky,21.3833,70.6833,Brahmanad Dham Guest House
